Título,Descripción
"El Gobierno sitúa el inicio del apagón en tres pérdidas sucesivas de generación en Granada, Badajoz y Sevilla",La vicepresidenta Sara Aagesen descarta que haya indicios de ciberataque en las infraestructuras de Red Eléctrica
"Última hora de la actualidad política, en directo | El PP reclama la dimisión de Aagesen y el PNV defiende que faltan datos para pedir responsabilidades","Sumar critica la insistencia del PP y Vox de apostar por la energía nuclear | El Gobierno descarta un ciberataque a Red Eléctrica y sitúa el inicio del apagón en Sevilla, Granada y Badajoz"
Red Eléctrica y la CNMC advirtieron en 2023 de que eran necesarias “medidas urgentes” por riesgos en la red,"El operador admitió “no disponer de herramientas suficientes” para evitar que las tensiones en la red de transporte alcanzaran valores “muy elevados”, por encima de la normativa"
El Gobierno se lanza contra el congreso del PP y el liderazgo “averiado” de Feijóo,El líder popular apela a los mensajes entre Sánchez y Ábalos para entonar de nuevo el “váyase” al presidente
Ábalos admite a un periodista que consintió que se filtrara parte de los mensajes con Sánchez,"Un reportero de ‘La Sexta’ asegura que el exministro le ha asegurado que él no ha facilitado los wasaps de 2021, pero sí de 2023"
Una explosión provoca un incendio en una nave de productos químicos en la localidad sevillana de Alcalá de Guadaíra,La Junta ha recomendado a los 77.000 vecinos que permanezcan en sus viviendas para evitar un posible riesgo de intoxicación
"Muere el expresidente de Uruguay Pepe Mujica, el revolucionario tranquilo",El exguerrillero y símbolo de la izquierda latinoamericana tenía cáncer. Su carisma y su capacidad de ser un oráculo de la austeridad y la sencillez fascinaron al mundo
Mapa de la renta de padres e hijos: ¿En qué ciudades funciona mejor el ascensor social?,"Un estudio muestra la conexión entre los ingresos de millones de padres y los de sus hijos décadas después. Sus datos reflejan el peso de la familia, pero también del lugar donde se vive. Consulte los resultados por barrios y ciudades"
Trump insta a Siria a normalizar las relaciones con Israel en la primera reunión con su presidente,"El mandatario, que define al dirigente sirio como “un tipo joven y atractivo”, había anunciado ya el levantamiento de las sanciones contra la economía siria. El ejército israelí mantiene parte del territorio sirio bajo control"
"Israel mata a más de 80 personas en Gaza, entre ellas 22 niños, en pleno viaje de Trump a la región",Las últimas 24 horas están entre las más mortíferas desde la ruptura del alto el fuego por parte del ejército israelí
La UE endurece las sanciones a Rusia en una semana clave para las negociaciones de paz,"Los Veintisiete amplían el cerco a la flota fantasma rusa y escenifican su apoyo a Ucrania en vísperas de la reunión en Estambul, a la que Zelenski ha retado a acudir a Vladímir Putin"
"El PP crece en intención de voto y se coloca a 2,7 puntos del PSOE, que ganaría las elecciones","El barómetro de mayo del CIS otorga a los socialistas el 32% de las papeletas y el 29,3% al partido de Núñez Feijóo en unas eventuales elecciones"
Nueve españoles atrapados en un hotel de Trípoli por los enfrentamientos armados entre milicias,Exteriores asegura que están localizados y se les evacuará cuando las condiciones de seguridad lo permitan
El delegado del Gobierno de Madrid explica al juez Peinado que no participó en la contratación de la asistente de Begoña Gómez,"Martín Aguirre, citado como imputado, afirma que llegó al cargo de secretario general de Presidencia tres años después de la designación de Cristina Álvarez: “Todo va a terminar en nada”"
La jueza cita como testigo a un exjefe de prensa de la Generalitat que avisó de la dana 24 horas antes,La magistrada pide la comparecencia de un comandante de la UME y tilda de “bulo” vincular la presa de Forata con la catástrofe
"La Junta de Prisa respalda, con abrumadora mayoría del 99,52%, la gestión de Oughourlian",El presidente del grupo confirma la presentación de un nuevo plan estratégico después del verano
Eduardo Mendoza gana el Premio Princesa de Asturias de las Letras,"Premio Cervantes y autor de ‘La verdad del caso Savolta’ o ‘Sin noticias de Gurb’, en 2025 se cumple medio siglo de su debut"
"Primera semifinal de Eurovisión 2025: Suecia, Polonia y Países Bajos, entre los clasificados mientras que Melody brilla en su debut en Basilea","La representante española ha actuado este martes, mostrando cómo es la propuesta final de la remozada ‘Esa diva’, con la que competirá el sábado. Escala dos posiciones más en las apuestas"
